"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-10-16 00:00",6.8,7,11,14,12,18,12,12,9
"2017-10-16 00:01",6.26666666667,11,13,11,12,11,13,22,12
"2017-10-16 00:02",5.86666666667,13,10,11,14,12,11,11,18
"2017-10-16 00:03",5.46666666667,13,9,10,12,10,15,13,8
"2017-10-16 00:04",5.6,11,8,5,12,8,11,12,7
"2017-10-16 00:05",5.06666666667,13,18,12,9,13,14,10,10
"2017-10-16 00:06",4.4,13,8,8,10,7,10,9,8
"2017-10-16 00:07",4.13333333333,9,8,16,6,9,8,9,7
"2017-10-16 00:08",4.26666666667,10,13,5,9,12,8,8,3
"2017-10-16 00:09",3.6,18,8,12,11,7,8,10,15
"2017-10-16 00:10",3.86666666667,13,13,13,6,14,14,3,10
"2017-10-16 00:11",3.73333333333,9,11,4,12,7,9,8,15
"2017-10-16 00:12",4,14,9,4,7,21,7,11,9
"2017-10-16 00:13",3.6,12,10,10,10,9,12,21,15
"2017-10-16 00:14",3.86666666667,4,9,11,3,13,8,6,9
"2017-10-16 00:15",3.73333333333,5,8,5,7,7,10,5,9
"2017-10-16 00:16",3.6,11,5,7,8,9,10,14,8
"2017-10-16 00:17",4,9,7,8,9,17,10,10,9
"2017-10-16 00:18",4.53333333333,9,13,6,11,17,11,6,10
"2017-10-16 00:19",5.06666666667,11,11,12,7,11,9,7,15
"2017-10-16 00:20",5.06666666667,6,5,6,10,12,15,11,5
"2017-10-16 00:21",5.6,13,11,7,4,9,5,14,6
"2017-10-16 00:22",5.86666666667,6,9,11,8,15,12,5,6
"2017-10-16 00:23",5.6,3,9,12,11,9,11,9,8
"2017-10-16 00:24",5.73333333333,12,14,13,10,9,9,12,9
"2017-10-16 00:25",5.73333333333,7,10,7,11,8,12,17,13
"2017-10-16 00:26",5.73333333333,14,9,12,11,16,10,9,13
"2017-10-16 00:27",5.46666666667,12,9,11,9,11,15,5,14
"2017-10-16 00:28",5.46666666667,12,15,11,8,8,9,9,10
"2017-10-16 00:29",5.46666666667,9,11,9,7,9,12,6,11
"2017-10-16 00:30",5.2,12,7,9,9,8,10,5,11
"2017-10-16 00:31",5.33333333333,8,15,8,7,13,9,8,7
"2017-10-16 00:32",5.46666666667,8,9,10,11,12,7,12,7
"2017-10-16 00:33",4.66666666667,8,5,9,11,12,4,14,11
"2017-10-16 00:34",4,6,7,7,12,20,8,14,4
"2017-10-16 00:35",4,9,12,12,12,8,9,5,11
"2017-10-16 00:36",3.86666666667,11,9,14,9,9,8,10,11
"2017-10-16 00:37",4,13,9,10,10,8,6,13,13
"2017-10-16 00:38",4,13,12,5,8,13,10,13,9
"2017-10-16 00:39",4.4,5,5,11,9,13,10,10,15
"2017-10-16 00:40",4.4,8,12,16,8,8,7,15,12
"2017-10-16 00:41",4.66666666667,9,9,7,14,18,8,12,12
"2017-10-16 00:42",4.8,10,9,5,6,18,9,7,11
"2017-10-16 00:43",4.8,8,14,7,4,7,10,9,15
"2017-10-16 00:44",4.66666666667,13,11,8,8,5,10,13,10
"2017-10-16 00:45",4.93333333333,12,9,6,11,7,10,13,4
"2017-10-16 00:46",4.8,12,11,14,9,8,4,12,8
"2017-10-16 00:47",4.8,7,7,14,12,6,14,13,7
"2017-10-16 00:48",5.33333333333,16,11,4,12,9,6,8,10
"2017-10-16 00:49",5.2,13,5,9,5,5,8,8,9
"2017-10-16 00:50",5.06666666667,14,13,10,6,11,8,9,3
"2017-10-16 00:51",5.6,13,7,9,8,8,12,5,12
"2017-10-16 00:52",5.33333333333,13,6,13,6,4,7,12,10
"2017-10-16 00:53",5.33333333333,8,11,14,9,7,10,11,8
"2017-10-16 00:54",4.93333333333,11,8,9,6,11,12,12,11
"2017-10-16 00:55",4.93333333333,9,6,9,7,9,6,8,7
"2017-10-16 00:56",4.93333333333,10,9,7,11,9,10,11,11
"2017-10-16 00:57",4.4,13,9,6,8,14,11,9,8
"2017-10-16 00:58",4.4,10,8,5,4,12,7,13,7
"2017-10-16 00:59",4,9,8,10,7,5,8,9,10
"2017-10-16 01:00",3.86666666667,9,11,11,10,10,8,7,8
"2017-10-16 01:01",4.26666666667,7,10,11,8,6,15,6,7
"2017-10-16 01:02",4.13333333333,9,4,7,10,7,10,10,9
"2017-10-16 01:03",3.6,8,12,10,6,6,15,7,6
"2017-10-16 01:04",3.73333333333,8,6,8,10,10,9,11,9
"2017-10-16 01:05",3.2,8,4,8,10,5,10,12,8
"2017-10-16 01:06",2.66666666667,8,5,16,13,10,9,8,6
"2017-10-16 01:07",2.4,5,5,8,5,5,7,5,7
"2017-10-16 01:08",2.4,5,14,4,10,6,8,9,6
"2017-10-16 01:09",2.13333333333,9,11,7,3,2,5,3,7
"2017-10-16 01:10",1.86666666667,5,7,5,2,9,6,6,7
"2017-10-16 01:11",2.13333333333,4,7,5,10,11,6,6,8
"2017-10-16 01:12",2,4,4,1,6,5,7,12,6
"2017-10-16 01:13",1.86666666667,11,8,8,9,13,8,5,5
"2017-10-16 01:14",1.86666666667,2,6,7,8,9,4,2,7
"2017-10-16 01:15",1.86666666667,8,8,4,10,6,6,4,8
"2017-10-16 01:16",1.6,9,8,8,7,8,11,4,6
"2017-10-16 01:17",1.2,6,3,7,6,13,3,5,6
"2017-10-16 01:18",1.33333333333,7,4,7,8,9,9,6,5
"2017-10-16 01:19",1.33333333333,2,8,6,10,8,8,7,2
"2017-10-16 01:20",1.33333333333,6,1,10,6,7,9,5,12
"2017-10-16 01:21",1.46666666667,10,9,5,6,7,11,9,7
"2017-10-16 01:22",1.46666666667,6,8,9,6,2,5,11,6
"2017-10-16 01:23",1.46666666667,9,5,2,8,11,2,7,6
"2017-10-16 01:24",1.73333333333,7,8,7,10,6,6,4,3
"2017-10-16 01:25",1.73333333333,3,10,4,9,7,3,4,4
"2017-10-16 01:26",1.86666666667,4,7,4,6,4,1,5,3
"2017-10-16 01:27",2.26666666667,7,4,7,2,5,8,6,0
"2017-10-16 01:28",2.26666666667,6,6,6,3,3,8,4,4
"2017-10-16 01:29",2.4,8,6,7,5,3,12,6,6
"2017-10-16 01:30",2.13333333333,3,4,2,2,5,5,2,4
"2017-10-16 01:31",2.13333333333,7,5,2,7,5,8,4,7
"2017-10-16 01:32",2.26666666667,2,5,3,2,6,6,6,9
"2017-10-16 01:33",2.4,6,6,7,5,6,6,4,5
"2017-10-16 01:34",2.66666666667,5,8,8,8,8,5,5,3
"2017-10-16 01:35",3.06666666667,9,5,10,6,7,6,5,7
"2017-10-16 01:36",3.46666666667,5,8,8,3,4,11,4,7
"2017-10-16 01:37",3.46666666667,9,4,6,8,6,11,5,7
"2017-10-16 01:38",3.46666666667,10,9,4,4,8,3,7,6
"2017-10-16 01:39",3.2,1,4,9,7,5,7,8,3
"2017-10-16 01:40",2.93333333333,6,5,6,9,9,6,10,7
"2017-10-16 01:41",2.8,9,7,7,7,7,6,9,8
"2017-10-16 01:42",2.66666666667,4,3,6,8,3,10,6,3
"2017-10-16 01:43",2.66666666667,5,5,6,7,11,9,10,8
"2017-10-16 01:44",2.53333333333,9,6,3,12,6,5,8,7
"2017-10-16 01:45",2.93333333333,13,6,7,14,7,12,11,6
"2017-10-16 01:46",2.8,4,10,8,5,8,4,6,6
"2017-10-16 01:47",2.8,2,6,7,9,8,5,5,9
"2017-10-16 01:48",2.66666666667,13,2,5,7,5,4,8,8
"2017-10-16 01:49",2.66666666667,2,2,5,8,4,6,6,6
"2017-10-16 01:50",2.53333333333,9,8,3,5,9,5,7,8
"2017-10-16 01:51",2.13333333333,11,8,3,4,10,12,8,8
"2017-10-16 01:52",2,3,3,5,7,7,7,9,9
"2017-10-16 01:53",2,4,4,6,6,6,8,6,8
"2017-10-16 01:54",2.93333333333,6,7,5,4,7,6,4,5
"2017-10-16 01:55",3.2,6,3,3,4,12,7,9,10
"2017-10-16 01:56",3.2,10,3,6,9,1,6,2,8
"2017-10-16 01:57",3.06666666667,3,8,6,7,7,3,8,4
"2017-10-16 01:58",3.06666666667,6,5,5,2,3,3,5,5
"2017-10-16 01:59",3.46666666667,3,4,7,2,4,5,8,6
"2017-10-16 02:00",3.06666666667,5,3,3,5,2,8,4,3
"2017-10-16 02:01",3.06666666667,5,5,9,4,6,8,6,3
"2017-10-16 02:02",3.2,6,7,7,10,4,8,3,5
"2017-10-16 02:03",3.2,5,4,7,10,2,6,11,9
"2017-10-16 02:04",2.8,4,7,8,8,4,5,3,6
"2017-10-16 02:05",2.53333333333,7,4,4,5,8,8,9,7
"2017-10-16 02:06",3.2,4,11,5,1,3,3,4,7
"2017-10-16 02:07",3.33333333333,8,6,8,6,6,6,3,1
"2017-10-16 02:08",3.33333333333,5,8,6,4,6,8,6,7
"2017-10-16 02:09",2.4,10,6,4,9,3,10,4,3
"2017-10-16 02:10",2.13333333333,7,8,10,7,7,7,7,1
"2017-10-16 02:11",2.13333333333,4,7,3,2,3,1,6,8
"2017-10-16 02:12",2.13333333333,6,4,8,9,4,4,8,13
"2017-10-16 02:13",1.86666666667,8,4,7,4,3,5,3,8
"2017-10-16 02:14",1.86666666667,7,4,4,5,2,2,5,3
"2017-10-16 02:15",2.26666666667,1,5,8,8,8,3,4,4
"2017-10-16 02:16",2.8,1,4,11,6,5,6,6,4
"2017-10-16 02:17",2.53333333333,3,6,3,5,7,3,5,7
"2017-10-16 02:18",2.53333333333,6,5,7,7,4,4,3,6
"2017-10-16 02:19",2.8,9,5,1,5,9,8,6,3
"2017-10-16 02:20",2.8,4,4,3,4,4,4,3,3
