"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min"
-0.87,-2.87,-5.87,-3.87,-3.87,-3.87,-4.87,-4.87
-3.6,-4.6,-5.6,-1.6,-3.6,-0.6,-5.6,-3.6
-4,-6,-5,-4,-5,1,-5,-4
-4,-4,-4,-6,-4,-3,-4,-3
-4.4,-5.4,-5.4,-5.4,-4.4,-5.4,-3.4,-5.4
-6.27,-6.27,-4.27,-6.27,-6.27,-3.27,-4.27,-3.27
-4.53,-5.53,-4.53,-5.53,-4.53,-4.53,-6.53,-4.53
-5.27,-3.27,-5.27,-3.27,-1.27,-2.27,-6.27,-5.27
-5.87,-1.87,-3.87,-5.87,-3.87,-4.87,-4.87,-4.87
-4.6,-4.6,-5.6,-3.6,-5.6,-4.6,-4.6,-2.6
-4.93,-2.93,-2.93,-3.93,-3.93,-1.93,-3.93,-4.93
-4.07,-4.07,-4.07,-2.07,-5.07,-4.07,-5.07,-3.07
-3.67,-3.67,-3.67,-2.67,-0.67,-3.67,-4.67,-2.67
-0.67,-2.67,-4.67,-2.67,-4.67,-3.67,0.33,-2.67
-1.53,-3.53,-2.53,-2.53,-3.53,-0.53,-0.53,-1.53
-1.4,-2.4,-2.4,-0.4,-0.4,0.6,1.6,-1.4
-1.4,-2.4,-2.4,-2.4,-1.4,-0.4,-0.4,-0.4
-0.27,-0.27,-0.27,-0.27,1.73,-0.27,-1.27,-0.27
-0.4,-1.4,-0.4,-2.4,-1.4,-1.4,-4.4,-1.4
1.4,0.4,0.4,-0.6,3.4,0.4,0.4,-1.6
-2.6,-1.6,0.4,2.4,0.4,-1.6,1.4,-3.6
-0.6,3.4,0.4,4.4,1.4,-1.6,-0.6,-0.6
2.27,0.27,1.27,0.27,3.27,-0.73,-1.73,3.27
0.27,1.27,-0.73,3.27,0.27,1.27,0.27,2.27
-1.4,-1.4,1.6,0.6,-3.4,-1.4,-0.4,-1.4
-2.4,-2.4,0.6,-2.4,-1.4,-3.4,1.6,-2.4
-2,1,0,0,-1,-1,-2,3
-0.73,2.27,-0.73,1.27,0.27,3.27,-2.73,1.27
-0.73,0.27,-1.73,0.27,0.27,-0.73,-0.73,1.27
0.67,1.67,2.67,0.67,0.67,0.67,-0.33,3.67
-0.47,-0.47,3.53,-2.47,0.53,2.53,2.53,2.53
2.53,-1.47,-0.47,1.53,0.53,0.53,-0.47,3.53
-0.33,-0.33,0.67,-0.33,-1.33,0.67,-0.33,-2.33
-2.07,0.93,-2.07,0.93,-0.07,0.93,1.93,0.93
3.93,3.93,-0.07,0.93,1.93,1.93,1.93,-1.07
1.93,-0.07,-0.07,2.93,0.93,-1.07,-1.07,1.93
3.53,-0.47,1.53,0.53,3.53,-0.47,-0.47,0.53
-0.6,-2.6,1.4,-1.6,1.4,1.4,-1.6,0.4
-0.4,-0.4,-1.4,-2.4,1.6,-1.4,-4.4,-3.4
-0.6,1.4,-0.6,-1.6,0.4,1.4,1.4,0.4
1.13,-1.87,0.13,-2.87,5.13,0.13,-1.87,-0.87
0.4,0.4,1.4,2.4,-1.6,-2.6,-0.6,1.4
0.27,0.27,1.27,-1.73,1.27,0.27,-0.73,2.27
-3,-1,0,-1,-4,-3,2,-1
-1.53,-1.53,-0.53,-2.53,-2.53,-2.53,2.47,-3.53
-1.27,0.73,0.73,0.73,-4.27,2.73,-2.27,-4.27
-1.27,-2.27,-2.27,-0.27,1.73,1.73,-2.27,-2.27
-0.53,1.47,-0.53,0.47,-1.53,-2.53,1.47,-0.53
