"abs_error_vol_15min","abs_error_vol_30min","abs_error_vol_45min","abs_error_vol_60min","abs_error_vol_75min","abs_error_vol_90min","abs_error_vol_105min","abs_error_vol_120min"
9.2,3.2,1.2,3.2,3.2,1.2,0.2,6.2
4.2,3.2,2.2,3.2,4.2,3.2,4.2,0.2
1.2,1.2,0.2,1.2,0.2,4.2,1.2,2.2
6.07,0.07,1.07,1.07,2.07,3.07,1.07,2.07
1.07,3.07,-0.93,0.07,1.07,1.07,-0.93,1.07
2.93,0.93,-0.07,-0.07,0.93,0.93,-1.07,-0.07
1.07,6.07,1.07,4.07,2.07,4.07,0.07,1.07
3.2,4.2,-0.8,4.2,2.2,0.2,2.2,0.2
2.07,2.07,0.07,2.07,2.07,5.07,0.07,-0.93
-0.07,0.93,0.93,-0.07,0.93,1.93,2.93,-1.07
-0.93,3.07,2.07,2.07,0.07,-0.93,-0.93,-0.93
-0.07,0.93,-0.07,-1.07,-0.07,-1.07,-1.07,-1.07
2.93,-1.07,-0.07,0.93,-1.07,-0.07,2.93,0.93
-0.07,0.93,2.93,2.93,-1.07,0.93,-1.07,0.93
-1.07,0.93,-0.07,-0.07,0.93,-0.07,-0.07,1.93
-0.93,2.07,-0.93,-0.93,-0.93,-0.93,0.07,-0.93
1.07,1.07,2.07,-0.93,-0.93,2.07,-0.93,1.07
1.07,2.07,0.07,1.07,1.07,0.07,-0.93,1.07
0.2,-0.8,-0.8,1.2,1.2,2.2,-0.8,0.2
2.2,1.2,0.2,1.2,2.2,0.2,1.2,0.2
3.2,-0.8,1.2,3.2,0.2,1.2,1.2,0.2
1.33,-0.67,1.33,2.33,0.33,-0.67,0.33,-0.67
1.33,2.33,0.33,1.33,1.33,-0.67,0.33,0.33
2.33,-0.67,-0.67,-0.67,1.33,-0.67,1.33,0.33
0.47,1.47,-0.53,-0.53,0.47,2.47,4.47,0.47
1.47,0.47,0.47,3.47,1.47,1.47,0.47,3.47
1.6,-0.4,0.6,0.6,1.6,2.6,0.6,-0.4
2.6,-0.4,-0.4,0.6,2.6,2.6,1.6,1.6
1.6,-0.4,-0.4,-0.4,-0.4,0.6,1.6,-0.4
0.6,3.6,1.6,0.6,2.6,2.6,2.6,0.6
0.73,-0.27,1.73,-0.27,-0.27,3.73,2.73,4.73
-0.27,1.73,-0.27,0.73,0.73,1.73,3.73,-0.27
3.73,1.73,-0.27,0.73,-0.27,0.73,0.73,0.73
-0.13,1.87,-0.13,-0.13,-0.13,0.87,1.87,-0.13
0.87,1.87,1.87,1.87,2.87,2.87,1.87,0.87
0.87,1.87,-0.13,3.87,1.87,0.87,2.87,3.87
0.87,0.87,3.87,2.87,1.87,1.87,0.87,0.87
2.87,1.87,0.87,1.87,-0.13,1.87,0.87,0.87
1.73,-0.27,0.73,1.73,2.73,0.73,3.73,1.73
1.73,1.73,-0.27,1.73,2.73,-0.27,0.73,1.73
-0.4,0.6,2.6,0.6,1.6,2.6,1.6,-0.4
-0.4,-0.4,2.6,-0.4,0.6,0.6,1.6,0.6
