"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-0.994,-0.994,-0.994,-0.994,-0.994,-0.994,-0.994,-0.994,-1.50619753310907,-1.50619753310907,-1.50619753310907,-1.50619753310907,-1.50619753310907,-1.50619753310907,-1.50619753310907,-1.50619753310907
-1.0193333333,-1.0193333333,-1.0193333333,-1.0193333333,-1.0193333333,-1.0193333333,-1.0193333333,-1.0193333333,-1.54399216386187,-1.54399216386187,-1.54399216386187,-1.54399216386187,-1.54399216386187,-1.54399216386187,-1.54399216386187,-1.54399216386187
-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.02733333330001,-1.55592128507465,-1.55592128507465,-1.55592128507465,-1.55592128507465,-1.55592128507465,-1.55592128507465,-1.55592128507465,-1.55592128507465
-0.992666666700003,-0.992666666700003,-0.992666666700003,-0.992666666700003,-0.992666666700003,-0.992666666700003,-0.992666666700003,-0.992666666700003,-1.50420753826107,-1.50420753826107,-1.50420753826107,-1.50420753826107,-1.50420753826107,-1.50420753826107,-1.50420753826107,-1.50420753826107
-0.974000000000004,-0.974000000000004,-0.974000000000004,-0.974000000000004,-0.974000000000004,-0.974000000000004,-0.974000000000004,-0.974000000000004,-1.47633916391306,-1.47633916391306,-1.47633916391306,-1.47633916391306,-1.47633916391306,-1.47633916391306,-1.47633916391306,-1.47633916391306
-1.1153333333,-1.1153333333,-1.1153333333,-1.1153333333,-1.1153333333,-1.1153333333,-1.1153333333,-1.1153333333,-1.68695108542733,-1.68695108542733,-1.68695108542733,-1.68695108542733,-1.68695108542733,-1.68695108542733,-1.68695108542733,-1.68695108542733
-1.1706666667,-1.1706666667,-1.1706666667,-1.1706666667,-1.1706666667,-1.1706666667,-1.1706666667,-1.1706666667,-1.76916256956669,-1.76916256956669,-1.76916256956669,-1.76916256956669,-1.76916256956669,-1.76916256956669,-1.76916256956669,-1.76916256956669
-1.254,-1.254,-1.254,-1.254,-1.254,-1.254,-1.254,-1.254,-1.89271591149214,-1.89271591149214,-1.89271591149214,-1.89271591149214,-1.89271591149214,-1.89271591149214,-1.89271591149214,-1.89271591149214
-1.3173333333,-1.3173333333,-1.3173333333,-1.3173333333,-1.3173333333,-1.3173333333,-1.3173333333,-1.3173333333,-1.98640878196851,-1.98640878196851,-1.98640878196851,-1.98640878196851,-1.98640878196851,-1.98640878196851,-1.98640878196851,-1.98640878196851
-1.366,-1.366,-1.366,-1.366,-1.366,-1.366,-1.366,-1.366,-2.05828285567911,-2.05828285567911,-2.05828285567911,-2.05828285567911,-2.05828285567911,-2.05828285567911,-2.05828285567911,-2.05828285567911
-1.3986666667,-1.3986666667,-1.3986666667,-1.3986666667,-1.3986666667,-1.3986666667,-1.3986666667,-1.3986666667,-2.10646800141463,-2.10646800141463,-2.10646800141463,-2.10646800141463,-2.10646800141463,-2.10646800141463,-2.10646800141463,-2.10646800141463
-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-2.07893943959023,-2.07893943959023,-2.07893943959023,-2.07893943959023,-2.07893943959023,-2.07893943959023,-2.07893943959023,-2.07893943959023
-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.27733333330001,-1.92725517014462,-1.92725517014462,-1.92725517014462,-1.92725517014462,-1.92725517014462,-1.92725517014462,-1.92725517014462,-1.92725517014462
-1.238,-1.238,-1.238,-1.238,-1.238,-1.238,-1.238,-1.238,-1.86901778435339,-1.86901778435339,-1.86901778435339,-1.86901778435339,-1.86901778435339,-1.86901778435339,-1.86901778435339,-1.86901778435339
-1.1293333333,-1.1293333333,-1.1293333333,-1.1293333333,-1.1293333333,-1.1293333333,-1.1293333333,-1.1293333333,-1.70776458248568,-1.70776458248568,-1.70776458248568,-1.70776458248568,-1.70776458248568,-1.70776458248568,-1.70776458248568,-1.70776458248568
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-0.826666666700007,-0.826666666700007,-0.826666666700007,-0.826666666700007,-0.826666666700007,-0.826666666700007,-0.826666666700007,-0.826666666700007,-1.25582337456895,-1.25582337456895,-1.25582337456895,-1.25582337456895,-1.25582337456895,-1.25582337456895,-1.25582337456895,-1.25582337456895
-0.676000000000002,-0.676000000000002,-0.676000000000002,-0.676000000000002,-0.676000000000002,-0.676000000000002,-0.676000000000002,-0.676000000000002,-1.02929532858274,-1.02929532858274,-1.02929532858274,-1.02929532858274,-1.02929532858274,-1.02929532858274,-1.02929532858274,-1.02929532858274
-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.581333333299995,-0.886431098229613,-0.886431098229613,-0.886431098229613,-0.886431098229613,-0.886431098229613,-0.886431098229613,-0.886431098229613,-0.886431098229613
-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566
-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.5186666667,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566,-0.791631901391566
-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.352666666700003,-0.53963623014591,-0.53963623014591,-0.53963623014591,-0.53963623014591,-0.53963623014591,-0.53963623014591,-0.53963623014591,-0.53963623014591
-0.2313333333,-0.2313333333,-0.2313333333,-0.2313333333,-0.2313333333,-0.2313333333,-0.2313333333,-0.2313333333,-0.354635297914272,-0.354635297914272,-0.354635297914272,-0.354635297914272,-0.354635297914272,-0.354635297914272,-0.354635297914272,-0.354635297914272
-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.102000000000004,-0.156677214217695,-0.156677214217695,-0.156677214217695,-0.156677214217695,-0.156677214217695,-0.156677214217695,-0.156677214217695,-0.156677214217695
0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0186666666999997,0.0287261983441542,0.0287261983441542,0.0287261983441542,0.0287261983441542,0.0287261983441542,0.0287261983441542,0.0287261983441542,0.0287261983441542
0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.188045254169364,0.188045254169364,0.188045254169364,0.188045254169364,0.188045254169364,0.188045254169364,0.188045254169364,0.188045254169364
0.0739999999999981,0.0739999999999981,0.0739999999999981,0.0739999999999981,0.0739999999999981,0.0739999999999981,0.0739999999999981,0.0739999999999981,0.113975911037178,0.113975911037178,0.113975911037178,0.113975911037178,0.113975911037178,0.113975911037178,0.113975911037178,0.113975911037178
0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0286666667000048,0.0441220230973961,0.0441220230973961,0.0441220230973961,0.0441220230973961,0.0441220230973961,0.0441220230973961,0.0441220230973961,0.0441220230973961
0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00333333330000585,0.00512846807529228,0.00512846807529228,0.00512846807529228,0.00512846807529228,0.00512846807529228,0.00512846807529228,0.00512846807529228,0.00512846807529228
-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.093333333299995,-0.143383859023007,-0.143383859023007,-0.143383859023007,-0.143383859023007,-0.143383859023007,-0.143383859023007,-0.143383859023007,-0.143383859023007
-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.172666666699996,-0.264937243680747,-0.264937243680747,-0.264937243680747,-0.264937243680747,-0.264937243680747,-0.264937243680747,-0.264937243680747,-0.264937243680747
-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.224000000000004,-0.343431865570961,-0.343431865570961,-0.343431865570961,-0.343431865570961,-0.343431865570961,-0.343431865570961,-0.343431865570961,-0.343431865570961
-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.300666666699996,-0.460434298832849,-0.460434298832849,-0.460434298832849,-0.460434298832849,-0.460434298832849,-0.460434298832849,-0.460434298832849,-0.460434298832849
-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.394666666700004,-0.603515067538336,-0.603515067538336,-0.603515067538336,-0.603515067538336,-0.603515067538336,-0.603515067538336,-0.603515067538336,-0.603515067538336
-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542
-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.463999999999999,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542,-0.70878650861542
